"","index","text","keyword1","keyword2","keyword3","concept1","concept2","concept3","entity1","entity2","entity3","anger","disgust","fear","joy","sadness","analytical","confident","tentative","openness","conscientiousness","extraversion","agreeableness","emotional_range","taxonomy","knowledgegraph"
"27",27,"RT pymnts RT NewsCarson Who wants to talk about Zcash in this weeks blockchain tracker Message me if you have insight and opinions","tracker Message"," pymnts  NewsCarson","insight","Who Wants to Be a Millionaire?","NA","NA","Zcash","NA","NA",0.078,0.107,0.171,0.162,0.604,0,0,0.131,0.35,0.215,0.541,0.919,0.003,"/technology and computing/internet technology/chat ","NA "
"28",28,"RT NewsCarson Who wants to talk about Zcash in this weeks blockchain tracker Message me if you have insight and opinionswhich I k","tracker Message","insight","NewsCarson","Who Wants to Be a Millionaire?","NA","NA","Zcash","NA","NA",0.062,0.108,0.163,0.146,0.641,0.636,0,0.131,0.256,0.192,0.362,0.874,0.015,"/technology and computing/internet technology/chat ","NA "
"29",29,"Is Zcash Giving Investors Mixed Signals ethereum   cfd   indices   commodities  cryptocurrency  ","cfd   indices   commodities","Zcash Giving Investors","NA","","","","","","",0.188,0.096,0.17,0.377,0.241,0,0,0,0.782,0.219,0.752,0.345,0.007,"/finance/investing/stocks ","/factors/assets/commodities/cfd   indices   commodities "
"30",30,"What is Zcash Worth As Price Tops      Traders Remain Unsure Days after the launch of  ","Traders Remain Unsure","NA","NA","","","","","","",0.061,0.059,0.02,0.726,0.231,0.533,0,0.648,0.386,0.51,0.596,0.344,0.656,"/automotive and vehicles/vehicle brands/hyundai ","/organizations/companies/traders/traders remain unsure "
"31",31,"RT KomodoPlatform A Guide to Better Understand Komodo  ","","","","","","","","","",0.066,0.032,0.145,0.756,0.065,0,0,0,0.138,0.442,0.118,0.559,0.539," "," "
"32",32,"What is Zcash Worth As Price Tops      Traders Remain Uncertain  ","Tops      Traders Remain","Zcash Worth","NA","","","","","","",0.063,0.186,0.048,0.612,0.183,0,0,0.498,0.471,0.32,0.797,0.608,0.602," ","/organizations/companies/traders/tops      traders remain "
"33",33,"What is Zcash Worth As Price Tops      Traders Remain Unsure Zcash traded at twice  ","Traders Remain Unsure","Tops","Worth","","","","","","",0.085,0.074,0.018,0.667,0.274,0,0,0.682,0.394,0.251,0.88,0.591,0.605,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain unsure "
"34",34,"BitcoinEdu BitcoinKinetics ZcashVictims BitcoinErrorLog fluffyponyza we dont sell ZCash Ethereum or any other garbage to uncle sam","BitcoinEdu BitcoinKinetics ZcashVictims","BitcoinErrorLog fluffyponyza","ZCash Ethereum","Uncle Sam","Sam","NA","ZCash Ethereum","uncle sam","NA",0.033,0.242,0.213,0.024,0.6,0,0,0.873,0.108,0,0.064,0.037,0.002,"/science/ecology/waste management/recycling ","NA "
"35",35,"What is Zcash Worth As Price Tops      Traders Remain Unsure Zcash traded at twice the  ","Traders Remain Unsure","Tops","Worth","","","","","","",0.082,0.083,0.022,0.653,0.281,0,0,0.648,0.453,0.261,0.882,0.503,0.717,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain unsure "
"36",36,"RT secparam More work on faster payments for zerocashzcash  This one is more theoretical at the moment  ","faster payments","secparam More work","moment","Thermodynamics","1980s music groups","NA","","","",0.135,0.071,0.07,0.749,0.05,0,0,0.236,0.023,0.459,0.084,0.079,0.285,"/science/physics ","/new features/faster/faster payments "
"37",37,"What is Zcash Worth As Price Tops      Traders Remain Unsure Zcash traded at twice  ","Traders Remain Unsure","Tops","Worth","","","","","","",0.085,0.074,0.018,0.667,0.274,0,0,0.682,0.394,0.251,0.88,0.591,0.605,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain unsure "
"38",38,"RT Tcorp Damn right irresponsible of exchanges to list Zcash on intense hype low supply and hyper inflation Not a joke Think of all","hyper inflation","intense hype","joke Think","","","","Zcash","NA","NA",0.089,0.551,0.181,0.143,0.154,0,0.561,0,0.698,0.019,0.878,0.013,0.1,"/society/work/unemployment ","/concepts/numbers/factors/inflation/hyper inflation "
"39",39,"RT southtopia My fave crypto wallet jaxxio is Now Live with Zcash Alas I do not have any ZEC  ","fave crypto wallet","Zcash Alas","ZEC","","","","Zcash","NA","NA",0.075,0.041,0.141,0.272,0.524,0,0,0.525,0.096,0.008,0.079,0.014,0.021,"/style and fashion/accessories/wallets ","/accessories/wallets/fave crypto wallet "
"40",40,"zcash have no ICO instead the genisis is   years hard to generate and     of the coins go to developer and speculation gone crazy","genisis","ICO","speculation","1999 singles","2009 singles","NA","developer","NA","NA",0.105,0.019,0.288,0.084,0.591,0.748,0,0.423,0.359,0.061,0.087,0,0.473,"/hobbies and interests/collecting ","NA "
"41",41,"zcash price is not just speculation actually who is accepting pay that price is paying the miners how much they will earn","zcash price","speculation","miners","","","","","","",0.071,0.47,0.029,0.314,0.221,0.277,0,0.447,0.518,0.307,0.505,0.21,0.876,"/business and industrial/energy/coal ","/numbers/factors/features/details/price/zcash price "
"42",42,"What is Zcash Worth As Price Tops      Traders Remain Unsure  ","Traders Remain Unsure","Tops","Zcash Worth","","","","","","",0.062,0.058,0.029,0.711,0.238,0,0,0.822,0.497,0.324,0.836,0.562,0.559,"/automotive and vehicles/vehicle brands/hyundai ","/organizations/companies/traders/traders remain unsure "
"43",43,"bitfinex do you support ZCash","bitfinex","ZCash","NA","","","","","","",0.051,0.108,0.246,0.519,0.167,0,0,0,0.027,0.35,0.516,0.533,0.415," "," "
"44",44,"krakenfx do you support ZCash","krakenfx","ZCash","NA","","","","","","",0.051,0.108,0.246,0.519,0.167,0,0,0,0.027,0.35,0.516,0.533,0.415," "," "
"45",45,"hitbtc do you support ZCash","ZCash","NA","NA","","","","","","",0.051,0.108,0.246,0.519,0.167,0,0,0,0.027,0.35,0.516,0.533,0.415," "," "
"46",46,"RT shinobi    Someone tell me why I should trust the trusted setup for zec zec Zcash I dont see how this is in any way better than ","zec zec Zcash","setup","way","2007 singles","Trust","NA","","","",0.195,0.216,0.219,0.131,0.377,0,0,0.699,0.058,0.096,0.083,0.146,0.163,"/law, govt and politics/politics/elections ","NA "
"47",47,"Poloniex do you support ZCash","Poloniex","ZCash","NA","","","","","","",0.051,0.108,0.246,0.52,0.167,0,0,0,0.027,0.35,0.516,0.533,0.415," "," "
"48",48,"RT Tcorp Damn right irresponsible of exchanges to list Zcash on intense hype low supply and hyper inflation Not a joke Think of all","hyper inflation","intense hype","joke Think","","","","Zcash","NA","NA",0.089,0.551,0.181,0.143,0.154,0,0.561,0,0.698,0.019,0.878,0.013,0.1,"/society/work/unemployment ","/concepts/numbers/factors/inflation/hyper inflation "
"49",49,"RT Tcorp Tcorp the economics of the launch actually disgust me and any exchanges that participated Zcash will be known as Zscam","Tcorp Tcorp","exchanges","launch","Thermodynamics","NA","NA","Tcorp Tcorp","Zcash","Zscam",0.039,0.717,0.042,0.078,0.177,0.159,0,0,0.879,0.546,0.335,0.11,0.131,"/law, govt and politics/politics ","NA "
"50",50,"RT southtopia My fave crypto wallet jaxxio is Now Live with Zcash Alas I do not have any ZEC  ","fave crypto wallet","Zcash Alas","ZEC","","","","Zcash","NA","NA",0.075,0.041,0.141,0.272,0.524,0,0,0.525,0.096,0.008,0.079,0.014,0.021,"/style and fashion/accessories/wallets ","/accessories/wallets/fave crypto wallet "
"51",51,"RT ZcashNews Zcash is todays highest performing altcoin  ","ZcashNews Zcash","todays","altcoin","","","","","","",0.013,0.021,0.089,0.796,0.138,0,0,0,0.111,0.309,0.169,0.462,0.061,"/art and entertainment "," "
"52",52," ","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0," "," "
"53",53,"Zcash now LIVE on   of   Jaxxio platforms  ","Jaxxio platforms","Zcash","LIVE","","","","Jaxxio","NA","NA",0.195,0.226,0.094,0.456,0.099,0,0,0,0.14,0.057,0.092,0.055,0.012,"/technology and computing/operating systems/unix "," "
"54",54,"RT exclusivecoin tommorow we will choose winner of EXCL giveaway browse tweets to enter last minute bitcoin zcash ZEC DASH dashp","giveaway browse tweets","zcash ZEC DASH","winner","","","","","","",0.041,0.043,0.28,0.555,0.141,0,0,0,0.036,0.447,0.041,0.916,0.094,"/business and industrial/advertising and marketing/marketing ","/activities/events/giveaways/giveaway browse tweets "
"55",55,"RT bitscanner Zcash Generates Price Frenzy    ","Price Frenzy","bitscanner Zcash","NA","","","","","","",0.045,0.139,0.074,0.69,0.118,0,0,0,0.184,0.441,0.323,0.666,0.214,"/business and industrial/energy/electricity ","/numbers/factors/features/details/price/price frenzy "
"56",56,"Tcorp the economics of the launch actually disgust me and any exchanges that participated Zcash will be known as Zscam","exchanges","launch","Tcorp","","","","Zcash","Zscam","NA",0.047,0.717,0.041,0.044,0.214,0.762,0,0,0.934,0.408,0.576,0.049,0.18,"/law, govt and politics/politics ","NA "
"57",57,"RT CyberTaters Ethereum to Add Zcash Privacy Says Vitalik Buterin  ","Add Zcash Privacy","Vitalik Buterin","CyberTaters","","","","Vitalik Buterin","NA","NA",0.064,0.099,0.116,0.546,0.255,0,0,0,0.021,0.335,0.104,0.598,0.163,"/health and fitness/disorders/mental disorder/a.d.d. ","/issues/privacy/add zcash privacy "
"58",58,"Zcash Impossible To Trace Expensive To Buy  ","Zcash","NA","NA","Debut albums","NA","NA","","","",0.429,0.051,0.025,0.038,0.542,0.858,0.752,0,0.003,0.179,0.367,0.492,0.17," "," "
"59",59,"Zcash Impossible To Trace Expensive To Buy  ","Zcash","NA","NA","Debut albums","NA","NA","","","",0.429,0.051,0.025,0.038,0.542,0.858,0.752,0,0.003,0.179,0.367,0.492,0.17," "," "
"60",60,"Damn right irresponsible of exchanges to list Zcash on intense hype low supply and hyper inflation Not a joke Think of all the victims","hyper inflation","intense hype","joke Think","Victim","NA","NA","Zcash","NA","NA",0.077,0.687,0.121,0.03,0.223,0.325,0.561,0,0.833,0.05,0.95,0.036,0.345,"/society/work/unemployment ","/concepts/numbers/factors/inflation/hyper inflation "
"61",61,"RT exclusivecoin tommorow we will choose winner of EXCL giveaway browse tweets to enter last minute bitcoin zcash ZEC DASH dashp","giveaway browse tweets","zcash ZEC DASH","winner","","","","","","",0.041,0.043,0.28,0.555,0.141,0,0,0,0.036,0.447,0.041,0.916,0.094,"/business and industrial/advertising and marketing/marketing ","/activities/events/giveaways/giveaway browse tweets "
"62",62,"RT southtopia My fave crypto wallet jaxxio is Now Live with Zcash Alas I do not have any ZEC  ","fave crypto wallet","Zcash Alas","ZEC","","","","Zcash","NA","NA",0.075,0.041,0.141,0.272,0.524,0,0,0.525,0.096,0.008,0.079,0.014,0.021,"/style and fashion/accessories/wallets ","/accessories/wallets/fave crypto wallet "
"63",63,"RT AnselLindner This is crazy Im kinda surprised at how sick it makes me zcash  ","Im kinda","AnselLindner","zcash","Trigraph","NA","NA","","","",0.067,0.183,0.066,0.344,0.404,0,0,0.648,0.093,0.004,0.329,0.744,0,"/shopping/resources/comparisons engines "," "
"64",64,"November updates out now Twelve new currencies added   ","new currencies","NA","NA","","","","","","",0.318,0.03,0.123,0.315,0.279,0,0,0,0.367,0.412,0.02,0.245,0.034,"/automotive and vehicles/vehicle brands/fiat "," "
"65",65,"RT southtopia My fave crypto wallet jaxxio is Now Live with Zcash Alas I do not have any ZEC  ","fave crypto wallet","Zcash Alas","ZEC","","","","Zcash","NA","NA",0.075,0.041,0.141,0.272,0.524,0,0,0.525,0.096,0.008,0.079,0.014,0.021,"/style and fashion/accessories/wallets ","/accessories/wallets/fave crypto wallet "
"66",66,"tommorow we will choose winner of EXCL giveaway browse tweets to enter last minute bitcoin zcash ZEC DASH dashpay bittrex Crypto","giveaway browse tweets","zcash ZEC DASH","dashpay bittrex Crypto","","","","","","",0.057,0.051,0.283,0.467,0.202,0.293,0,0,0.046,0.32,0.056,0.85,0.058,"/business and industrial/advertising and marketing/marketing ","/activities/events/giveaways/giveaway browse tweets "
"67",67,"Ethereum to Add Zcash Privacy Says Vitalik Buterin  ","Add Zcash Privacy","Vitalik Buterin","Ethereum","","","","Vitalik Buterin","NA","NA",0.098,0.119,0.148,0.384,0.334,0,0,0,0.041,0.26,0.302,0.476,0.276,"/health and fitness/disorders/mental disorder/a.d.d. ","/issues/privacy/add zcash privacy "
"68",68,"Ethereum to Add Zcash Privacy Says Vitalik Buterin  ","Add Zcash Privacy","Vitalik Buterin","Ethereum","","","","Vitalik Buterin","NA","NA",0.098,0.119,0.148,0.384,0.334,0,0,0,0.041,0.26,0.302,0.476,0.276,"/health and fitness/disorders/mental disorder/a.d.d. ","/issues/privacy/add zcash privacy "
"69",69,"RT southtopia My fave crypto wallet jaxxio is Now Live with Zcash Alas I do not have any ZEC  ","fave crypto wallet","Zcash Alas","ZEC","","","","Zcash","NA","NA",0.075,0.041,0.141,0.272,0.524,0,0,0.525,0.096,0.008,0.079,0.014,0.021,"/style and fashion/accessories/wallets ","/accessories/wallets/fave crypto wallet "
"70",70,"RT southtopia My fave crypto wallet jaxxio is Now Live with Zcash Alas I do not have any ZEC  ","fave crypto wallet","Zcash Alas","ZEC","","","","Zcash","NA","NA",0.075,0.041,0.141,0.272,0.524,0,0,0.525,0.096,0.008,0.079,0.014,0.021,"/style and fashion/accessories/wallets ","/accessories/wallets/fave crypto wallet "
"71",71,"What is Zcash Worth As Price Tops      Traders Remain Unsure Zcash traded at twice the  ","Traders Remain Unsure","Tops","Worth","","","","","","",0.082,0.083,0.022,0.653,0.281,0,0,0.648,0.453,0.261,0.882,0.503,0.717,"/finance/investing/funds/exchange traded funds ","/organizations/companies/traders/traders remain unsure "
"72",72,"RT southtopia My fave crypto wallet jaxxio is Now Live with Zcash Alas I do not have any ZEC  ","fave crypto wallet","Zcash Alas","ZEC","","","","Zcash","NA","NA",0.075,0.041,0.141,0.272,0.524,0,0,0.525,0.096,0.008,0.079,0.014,0.021,"/style and fashion/accessories/wallets ","/accessories/wallets/fave crypto wallet "
"73",73,"My fave crypto wallet jaxxio is Now Live with Zcash Alas I do not have any ZEC  ","fave crypto wallet","Zcash Alas","ZEC","","","","Zcash","NA","NA",0.097,0.044,0.133,0.168,0.613,0.482,0,0.584,0.153,0.003,0.204,0.004,0.028,"/style and fashion/accessories/wallets ","/accessories/wallets/fave crypto wallet "
"74",74,"Jaxx Wallet Now Live with Zcash Jaxx wallet users can join the Zcash party starting  ","Jaxx wallet users","Wallet Now Live","Zcash party","","","","Zcash Jaxx","NA","NA",0.085,0.061,0.086,0.657,0.172,0,0,0,0.067,0.151,0.193,0.281,0.182,"/style and fashion/accessories/wallets ","/accessories/wallets/jaxx wallet users "
"75",75,"RT hellomonero MoneroKovri dev meeting note highlights            ","hellomonero MoneroKovri dev","note highlights","NA","","","","","","",0.039,0.088,0.075,0.596,0.242,0,0,0,0.058,0.29,0.246,0.698,0.008,"/technology and computing/programming languages/c and c++ ","/people/artists/dev/hellomonero monerokovri dev "
"76",76,"Scryptsycom BTC What is Zcash Worth As Price Tops      Traders Remain Unsure Zcash  ","Price Tops      Traders","Scryptsycom BTC","Unsure Zcash","","","","","","",0.063,0.057,0.03,0.715,0.23,0,0,0.716,0.452,0.209,0.862,0.532,0.348,"/business and industrial/energy/oil ","/numbers/factors/features/details/price/price tops      traders "
"77",77,"RT shinobi    Someone tell me why I should trust the trusted setup for zec zec Zcash I dont see how this is in any way better than ","zec zec Zcash","setup","way","2007 singles","Trust","NA","","","",0.195,0.216,0.219,0.131,0.377,0,0,0.699,0.058,0.096,0.083,0.146,0.163,"/law, govt and politics/politics/elections ","NA "
"78",78,"RT AnselLindner This is crazy Im kinda surprised at how sick it makes me zcash  ","Im kinda","AnselLindner","zcash","Trigraph","NA","NA","","","",0.067,0.183,0.066,0.344,0.404,0,0,0.648,0.093,0.004,0.329,0.744,0,"/shopping/resources/comparisons engines "," "
"79",79,"ZcashVictims apologies i jkeep it simple for peeps new to digital currency I just got linux up on a computer to compile a zcash wallet","ZcashVictims apologies","zcash wallet","digital currency","Assembly language","Operating system","Microsoft","linux","NA","NA",0.328,0.098,0.048,0.523,0.076,0.13,0,0.38,0.099,0.153,0.179,0.002,0.582,"/technology and computing/hardware/computer ","/year-end wrap-ups/apologies/zcashvictims apologies "
"80",80,"RT rarepepenews Certified Rare ZOOKOPEPE RAREPEPE on Counterparty DEX   for   XCP RT your funniest Zcash quote chance to win  ","funniest Zcash quote","Rare ZOOKOPEPE RAREPEPE","Counterparty DEX","Windows XP","NA","NA","Zcash","NA","NA",0.073,0.018,0.114,0.437,0.433,0,0,0.525,0.147,0.813,0.395,0.929,0.415,"/business and industrial/company/bankruptcy ","/categories/funniest/funniest zcash quote "
"81",81,"This is crazy Im kinda surprised at how sick it makes me zcash  ","Im kinda","zcash","NA","2007 singles","NA","NA","","","",0.086,0.2,0.06,0.224,0.496,0,0,0.716,0.132,0.007,0.409,0.712,0,"/shopping/resources/comparisons engines "," "
"82",82,"RT cryptocrooks This zcash stuff is getting out of hand someone gotta set them straight","zcash stuff","ta","cryptocrooks","Timothy Leary","Andrea Marcovicci","NA","","","",0.174,0.201,0.191,0.283,0.257,0,0,0.648,0.84,0.803,0.324,0.369,0.084,"/style and fashion/clothing/pants/jeans ","/people/zcash stuff "
"83",83,"RT gocowboysfan   zcash has a blockchain totally different amp newly done from bitcoin with a totally unique Mathematical Algorithm Fas","totally unique Mathematical","Algorithm Fas"," gocowboysfan   zcash","Algorithm","NA","NA","","","",0.096,0.147,0.086,0.619,0.125,0,0.85,0,0.863,0.838,0.836,0.915,0.282,"/technology and computing/consumer electronics/audio equipment/speakers ","/products/unique/totally unique mathematical "
"84",84,"This zcash stuff is getting out of hand someone gotta set them straight","zcash stuff","ta","hand","Timothy Leary","Andrea Marcovicci","NA","","","",0.215,0.217,0.19,0.174,0.322,0,0,0.716,0.928,0.725,0.479,0.17,0.117,"/style and fashion/clothing/pants/jeans ","/people/zcash stuff "
"85",85,"How do I mine zcash with an amd rx   ","amd rx","zcash","NA","","","","amd","NA","NA",0.358,0.096,0.096,0.12,0.414,0,0,0,0.134,0.049,0.135,0.374,0.385,"/technology and computing/hardware/computer components/chips and processors ","/organizations/companies/amd/amd rx "
"86",86,"RT notsofastcrypto zcash GPU miners for your testing pleasure ZEC  ","testing pleasure ZEC","GPU miners","NA","","","","","","",0.034,0.029,0.05,0.874,0.065,0,0,0,0.152,0.561,0.049,0.533,0.15,"/business and industrial/energy/coal ","/activities/services/applications/systems/testing/testing pleasure zec "
"87",87,"RT MAbtc In Zcashs current state it is impossible to know whether a successful attack occurred zcash ZEC bitcoin  ","zcash ZEC bitcoin","Zcashs current state","successful attack","Russia","Thermodynamics","NA","","","",0.076,0.231,0.196,0.446,0.095,0.438,0.353,0,0.16,0.32,0.071,0.202,0.355,"/law, govt and politics/armed forces/army ","NA "
"88",88,"RT mineZcash Zcash First Beta    Testnet Release is Live zooko zcashco Zcash  ","Beta    Testnet Release","Live zooko zcashco","mineZcash Zcash","Patti LaBelle","2002 albums","NA","zcashco Zcash","NA","NA",0.067,0.064,0.113,0.779,0.041,0,0,0,0.084,0.341,0,0.255,0.027,"/technology and computing/computer reviews ","/products/specialty chemicals/releases/beta    testnet release "
"89",89,"zooko Maybe would shouldna brought that petertoddbtc guy in NSA handler Everythings going to be fine Proceed as planned  ZCash","NSA handler Everythings","petertoddbtc guy","zooko","20th-century classical composers","NA","NA","","","",0.05,0.172,0.182,0.214,0.474,0,0,0.498,0.606,0.271,0.776,0.876,0.315,"/society/sex ","/organizations/agencies/nsa/nsa handler everythings "
